video id,video encoding
2644c36e-14bd-11e5-839e-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645e79c-14bd-11e5-a456-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645e8d1-14bd-11e5-958e-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645e9a3-14bd-11e5-9bc5-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645ea59-14bd-11e5-a993-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645eb02-14bd-11e5-b5d0-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645ebb8-14bd-11e5-a919-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645ec59-14bd-11e5-96ea-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645ed02-14bd-11e5-9743-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645ed97-14bd-11e5-8a40-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645ee40-14bd-11e5-8725-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645eed7-14bd-11e5-8e7d-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645ef78-14bd-11e5-b68b-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645f107-14bd-11e5-9321-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645f1bd-14bd-11e5-af1a-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645f25c-14bd-11e5-815d-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645f2fd-14bd-11e5-8162-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645f39c-14bd-11e5-b914-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645f43a-14bd-11e5-8f7b-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645f4d1-14bd-11e5-94d1-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
2645f570-14bd-11e5-bab9-8438355b7e3a,"{encoding: '1080p', height: 1080, width: 1920, bit_rates: {'3000 Kbps', '4500 Kbps', '6000 Kbps'}}"
